"name"	"taxRank"	"taxID"	"Max"	"K1.cladeReads"	"K2.cladeReads"	"W1.cladeReads"	"Max.1"	"K1.cladeReads.."	"K2.cladeReads.."	"W1.cladeReads.."	"Max.2"	"K1.cladeReads.rank"	"K2.cladeReads.rank"	"W1.cladeReads.rank"	"Max.3"	"K1.cladeReads.z.score"	"K2.cladeReads.z.score"	"W1.cladeReads.z.score"	"Max.4"	"K1.cladeReads...z.score"	"K2.cladeReads...z.score"	"W1.cladeReads...z.score"	"lineage"
"Chakrabartyella"	"G"	3088373	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae"
"Herbinix"	"G"	1663717	2	1	2	1	0.000392	0.0001659	0.0003569	0.000392	166	279	166	428.5	1	NA	1	NA	0.0351	-0.191	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae"
"Vallitalea"	"G"	1348611	4	2	4	NA	0.0007137	0.0003318	0.0007137	NA	120	172	120	NA	0.6745	NA	0.6745	NA	0.3819	NA	0.3819	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Vallitaleaceae"
"Anaerotignum"	"G"	2039240	2	2	1	1	0.000392	0.0003318	0.0001784	0.000392	172	172	263.5	428.5	1	1	NA	NA	0.0602	NA	-0.1534	0.0602	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Anaerotignaceae"
"Defluviitalea"	"G"	1185408	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Defluviitaleaceae"
"Faecalibacterium"	"G"	216851	10261	3619	3746	10261	4.023	0.6004	0.6684	4.023	5	12	9	5	34.6	-0.6745	NA	34.6	33.27	-0.6745	NA	33.27	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Ruminococcus"	"G"	1263	8841	2274	8841	268	1.578	0.3772	1.578	0.1051	6	13	6	28	2.208	NA	2.208	-0.6745	2.977	NA	2.977	-0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Vescimonas"	"G"	2892396	516	516	42	202	0.0856	0.0856	0.007494	0.07919	27	27	53.5	31	1.324	1.324	-0.6745	NA	0.6745	0.6745	-7.544	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Flavonifractor"	"G"	946234	627	214	627	385	0.1509	0.0355	0.1119	0.1509	22	33	22	25	0.9545	-0.6745	0.9545	NA	0.6745	-1.321	NA	0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Ruthenibacterium"	"G"	1905344	203	203	57	191	0.07488	0.03368	0.01017	0.07488	33	34	47.5	33	0.6745	0.6745	-7.532	NA	1.182	NA	-0.6745	1.182	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Lawsonibacter"	"G"	2172004	199	179	89	199	0.07801	0.02969	0.01588	0.07801	32	37	39	32	0.6745	NA	-3.035	0.6745	2.36	NA	-0.6745	2.36	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Dysosmobacter"	"G"	2591381	123	123	26	63	0.0247	0.0204	0.004639	0.0247	40	40	60	52	1.094	1.094	-0.6745	NA	0.6745	NA	-2.472	0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Anaerotruncus"	"G"	244127	112	112	69	74	0.02901	0.01858	0.01231	0.02901	42.5	42.5	43	48	5.126	5.126	-0.6745	NA	1.122	NA	-0.6745	1.122	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Oscillibacter"	"G"	459786	174	112	174	110	0.04312	0.01858	0.03105	0.04312	33.5	42.5	33.5	41	20.91	NA	20.91	-0.6745	0.6745	-0.6968	NA	0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Solibaculum"	"G"	2842531	49	49	17	9	0.008129	0.008129	0.003033	0.003528	53	53	66.5	98	2.698	2.698	NA	-0.6745	4.601	4.601	-0.495	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Pusillibacter"	"G"	2892397	99	46	9	99	0.03881	0.007631	0.001606	0.03881	44	56	88.5	44	0.9662	NA	-0.6745	0.9662	3.49	NA	-0.6745	3.49	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Subdoligranulum"	"G"	292632	185	35	36	185	0.07252	0.005806	0.006424	0.07252	34	60	56	34	100.5	-0.6745	NA	100.5	66.1	-0.618	NA	66.1	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Owariibacterium"	"G"	3393728	64	18	12	64	0.02509	0.002986	0.002141	0.02509	51	67.5	80	51	5.171	NA	-0.6745	5.171	17.64	NA	-0.6745	17.64	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Pseudoflavonifractor"	"G"	1017280	35	10	16	35	0.01372	0.001659	0.002855	0.01372	60	80.5	70	60	2.136	-0.6745	NA	2.136	6.127	-0.6745	NA	6.127	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Caproicibacterium"	"G"	2834348	8	8	3	4	0.001568	0.001327	0.0005353	0.001568	87.5	87.5	137.5	167.5	2.698	2.698	-0.6745	NA	0.241	NA	-0.7917	0.241	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Ruminiclostridium"	"G"	1508657	4	4	1	2	0.000784	0.0006636	0.0001784	0.000784	119	119	263.5	259	1.349	1.349	-0.6745	NA	0.1204	NA	-0.4852	0.1204	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Amygdalobacter"	"G"	3079925	4	2	4	4	0.001568	0.0003318	0.0007137	0.001568	120	172	120	167.5	-2	-2	NA	NA	0.8543	-0.3819	NA	0.8543	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Paludihabitans"	"G"	2038676	5	2	NA	5	0.00196	0.0003318	NA	0.00196	139.5	172	NA	139.5	1.012	NA	NA	1.012	1.628	NA	NA	1.628	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Petroclostridium"	"G"	2304687	2	2	1	NA	0.0003318	0.0003318	0.0001784	NA	172	172	263.5	NA	0.6745	0.6745	NA	NA	0.1534	0.1534	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Mageeibacillus"	"G"	1637257	5	1	5	4	0.001568	0.0001659	0.0008922	0.001568	105	279	105	167.5	0.6745	-2.023	0.6745	NA	0.6745	-0.7249	NA	0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Ethanoligenens"	"G"	253238	2	1	NA	2	0.000784	0.0001659	NA	0.000784	259	279	NA	259	0.6745	NA	NA	0.6745	0.6181	NA	NA	0.6181	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Eubacterium"	"G"	1730	1958	596	1958	134	0.3494	0.09887	0.3494	0.05253	14	23	14	38	1.988	NA	1.988	-0.6745	3.647	NA	3.647	-0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae"
"Anaerofustis"	"G"	264995	33	1	NA	33	0.01294	0.0001659	NA	0.01294	61	279	NA	61	21.58	NA	NA	21.58	12.77	NA	NA	12.77	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae"
"Clostridium"	"G"	1485	524	188	524	407	0.1596	0.03119	0.0935	0.1596	24	35	26	24	0.6745	-1.263	0.6745	NA	0.7155	-0.6745	NA	0.7155	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Lactonifactor"	"G"	420345	16	2	16	10	0.00392	0.0003318	0.002855	0.00392	70	172	70	91.5	0.6745	-0.8993	0.6745	NA	0.6745	-1.598	NA	0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Caloramator"	"G"	44258	2	1	2	1	0.000392	0.0001659	0.0003569	0.000392	166	279	166	428.5	1	NA	1	NA	0.0351	-0.191	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Oceanirhabdus"	"G"	1434026	1	1	1	1	0.000392	0.0001659	0.0001784	0.000392	263.5	279	263.5	428.5	NA	NA	NA	NA	0.2136	-0.0125	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Haloimpatiens"	"G"	1755832	1	1	1	1	0.000392	0.0001659	0.0001784	0.000392	263.5	279	263.5	428.5	NA	NA	NA	NA	0.2136	-0.0125	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Wukongibacter"	"G"	1884926	3	1	2	3	0.001176	0.0001659	0.0003569	0.001176	166	279	166	203.5	0.6745	-0.6745	NA	0.6745	0.8191	-0.191	NA	0.8191	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Intestinimonas"	"G"	1392389	375	56	42	375	0.147	0.00929	0.007494	0.147	26	50	53.5	26	15.37	NA	-0.6745	15.37	51.72	NA	-0.6745	51.72	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Flintibacter"	"G"	1918454	16	6	1	16	0.006272	0.0009953	0.0001784	0.006272	79	98.5	263.5	79	1.349	NA	-0.6745	1.349	4.357	NA	-0.6745	4.357	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Butyricicoccus"	"G"	580596	19	10	15	19	0.007448	0.001659	0.002676	0.007448	72.5	80.5	72.5	73.5	0.6745	-0.8431	NA	0.6745	3.165	-0.6745	NA	3.165	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Butyricicoccaceae"
"Agathobaculum"	"G"	2048137	10	10	5	5	0.00196	0.001659	0.0008922	0.00196	80.5	80.5	105	139.5	5	5	NA	NA	0.301	NA	-0.7668	0.301	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Butyricicoccaceae"
"Intestinibacillus"	"G"	1928820	2	1	2	NA	0.0003569	0.0001659	0.0003569	NA	166	279	166	NA	0.6745	NA	0.6745	NA	0.191	NA	0.191	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Butyricicoccaceae"
"Acutalibacter"	"G"	1918385	10	8	10	8	0.003136	0.001327	0.001784	0.003136	85	87.5	85	105	2	NA	2	NA	1.352	-0.457	NA	1.352	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Acutalibacteraceae"
"Caproicibacter"	"G"	2576755	3	3	NA	2	0.000784	0.0004977	NA	0.000784	138	138	NA	259	0.6745	0.6745	NA	NA	0.2863	NA	NA	0.2863	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Acutalibacteraceae"
"Caproiciproducens"	"G"	1738645	3	1	1	3	0.001176	0.0001659	0.0001784	0.001176	203.5	279	263.5	203.5	2	NA	NA	2	0.9976	-0.0125	NA	0.9976	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Acutalibacteraceae"
"Desulfofundulus"	"G"	2282741	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Peptococcaceae"
"Aristaeella"	"G"	3046369	30	1	2	30	0.01176	0.0001659	0.0003569	0.01176	63	279	166	63	18.89	-0.6745	NA	18.89	11.4	-0.191	NA	11.4	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Aristaeellaceae"
"Intestinibacter"	"G"	1505657	914	564	914	22	0.1631	0.09356	0.1631	0.008625	19	25	19	69	0.6745	NA	0.6745	-1.044	0.6745	NA	0.6745	-0.8238	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Clostridioides"	"G"	1870884	136	70	56	136	0.05332	0.01161	0.009992	0.05332	37	47	49	37	3.18	NA	-0.6745	3.18	17.39	NA	-0.6745	17.39	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Romboutsia"	"G"	1501226	202	23	202	6	0.03604	0.003815	0.03604	0.002352	31	64	31	125.5	7.102	NA	7.102	-0.6745	14.86	NA	14.86	-0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Terrisporobacter"	"G"	1505652	96	17	8	96	0.03763	0.00282	0.001427	0.03763	45	69	90.5	45	5.921	NA	-0.6745	5.921	16.86	NA	-0.6745	16.86	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Paraclostridium"	"G"	1849822	17	4	17	9	0.003528	0.0006636	0.003033	0.003528	66.5	119	66.5	98	1.079	-0.6745	1.079	NA	0.495	-2.369	NA	0.495	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Tepidibacter"	"G"	214904	3	3	NA	NA	0.0004977	0.0004977	NA	NA	138	138	NA	NA	3	3	NA	NA	0.4977	0.4977	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Peptacetobacter"	"G"	2743582	2	1	2	NA	0.0003569	0.0001659	0.0003569	NA	166	279	166	NA	0.6745	NA	0.6745	NA	0.191	NA	0.191	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Mogibacterium"	"G"	86331	5	5	3	1	0.0008294	0.0008294	0.0005353	0.000392	105.5	105.5	137.5	428.5	0.6745	0.6745	NA	-0.6745	0.2941	0.2941	NA	-0.1433	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae"
"Emergencia"	"G"	1926556	14	3	14	5	0.002498	0.0004977	0.002498	0.00196	75	138	75	139.5	3.035	-0.6745	3.035	NA	0.538	-1.462	0.538	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae"
"Ihubacter"	"G"	1926667	2	1	2	1	0.000392	0.0001659	0.0003569	0.000392	166	279	166	428.5	1	NA	1	NA	0.0351	-0.191	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae"
"Monoglobus"	"G"	2039302	250	250	2	10	0.04147	0.04147	0.0003569	0.00392	32	32	166	91.5	20.23	20.23	-0.6745	NA	7.108	7.108	-0.6745	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Monoglobales>Monoglobaceae"
"Christensenella"	"G"	990721	48	48	5	46	0.01803	0.007963	0.0008922	0.01803	54.5	54.5	105	57	0.6745	0.6745	-13.83	NA	0.9603	NA	-0.6745	0.9603	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Christensenellales>Christensenellaceae"
"Natranaerofaba"	"G"	2807497	4	4	NA	NA	0.0006636	0.0006636	NA	NA	119	119	NA	NA	4	4	NA	NA	0.6636	0.6636	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Natranaerobiales>Natranaerofabaceae"
"Thermoanaerobacterium"	"G"	28895	2	1	1	2	0.000784	0.0001659	0.0001784	0.000784	259	279	263.5	259	1	NA	NA	1	0.6056	-0.0125	NA	0.6056	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae"
"Faecalibacillus"	"G"	2678885	4908	634	4908	244	0.8757	0.1052	0.8757	0.09565	7	22	7	29	7.392	NA	7.392	-0.6745	54.42	NA	54.42	-0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Coprobacillaceae"
"Thomasclavelia"	"G"	3025755	4047	12	62	4047	1.587	0.001991	0.01106	1.587	12	76	46	12	53.76	-0.6745	NA	53.76	117.2	-0.6745	NA	117.2	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Coprobacillaceae"
"Catenibacterium"	"G"	135858	4	4	3	2	0.000784	0.0006636	0.0005353	0.000784	119	119	137.5	259	0.6745	0.6745	NA	-0.6745	0.1204	NA	-0.1283	0.1204	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Coprobacillaceae"
"Turicibacter"	"G"	191303	402	402	83	4	0.06669	0.06669	0.01481	0.001568	29	29	40	167.5	2.724	2.724	NA	-0.6745	2.643	2.643	NA	-0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Turicibacteraceae"
"Holdemania"	"G"	61170	139	59	139	19	0.0248	0.009787	0.0248	0.007448	35	48	35	73.5	1.349	NA	1.349	-0.6745	4.329	NA	4.329	-0.6745	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Amedibacillus"	"G"	2749846	7	6	4	7	0.002744	0.0009953	0.0007137	0.002744	98.5	98.5	120	114.5	0.6745	NA	-1.349	0.6745	1.749	NA	-0.2816	1.749	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Solobacterium"	"G"	123375	3	3	1	NA	0.0004977	0.0004977	0.0001784	NA	138	138	263.5	NA	1.349	1.349	NA	NA	0.3193	0.3193	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Intestinibaculum"	"G"	2679910	3	3	NA	1	0.0004977	0.0004977	NA	0.000392	138	138	NA	428.5	1.349	1.349	NA	NA	0.1057	0.1057	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Bulleidia"	"G"	118747	6	2	6	1	0.001071	0.0003318	0.001071	0.000392	96	172	96	428.5	2.698	NA	2.698	-0.6745	0.679	-0.0602	0.679	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Faecalibaculum"	"G"	1729679	2	2	NA	NA	0.0003318	0.0003318	NA	NA	172	172	NA	NA	2	2	NA	NA	0.3318	0.3318	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Longicatena"	"G"	1918536	97	2	97	2	0.01731	0.0003318	0.01731	0.000784	36	172	36	259	95	NA	95	NA	16.53	-0.4522	16.53	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Massilimicrobiota"	"G"	1924110	6	2	6	NA	0.001071	0.0003318	0.001071	NA	96	172	96	NA	1.349	NA	1.349	NA	0.7392	NA	0.7392	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Allocoprobacillus"	"G"	3059504	2	2	1	2	0.000784	0.0003318	0.0001784	0.000784	172	172	263.5	259	-1	NA	-1	NA	0.4522	NA	-0.1534	0.4522	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Erysipelothrix"	"G"	1647	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Amedibacterium"	"G"	2749267	14	1	14	2	0.002498	0.0001659	0.002498	0.000784	75	279	75	259	8.094	-0.6745	8.094	NA	1.714	-0.6181	1.714	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Streptococcus"	"G"	1301	591	591	341	171	0.09804	0.09804	0.06085	0.06704	24	24	27	35	0.9919	0.9919	NA	-0.6745	3.378	3.378	-0.6745	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Streptococcaceae"
"Pseudolactococcus"	"G"	3436058	5	5	2	NA	0.0008294	0.0008294	0.0003569	NA	105.5	105.5	166	NA	1.012	1.012	NA	NA	0.4725	0.4725	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Streptococcaceae"
"Lactococcus"	"G"	1357	6	4	4	6	0.002352	0.0006636	0.0007137	0.002352	119	119	120	125.5	2	NA	NA	2	1.638	-0.0501	NA	1.638	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Streptococcaceae"
"Ligilactobacillus"	"G"	2767887	9	5	4	9	0.003528	0.0008294	0.0007137	0.003528	98	105.5	120	98	2.698	NA	-0.6745	2.698	2.699	NA	-0.1157	2.699	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Lactobacillus"	"G"	1578	16	3	6	16	0.006272	0.0004977	0.001071	0.006272	79	138	96	79	2.248	-0.6745	NA	2.248	5.201	-0.5733	NA	5.201	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Leuconostoc"	"G"	1243	13	3	13	3	0.00232	0.0004977	0.00232	0.001176	77.5	138	77.5	203.5	10	NA	10	NA	1.138	-0.6745	1.138	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Limosilactobacillus"	"G"	2742598	2	2	NA	2	0.000784	0.0003318	NA	0.000784	172	172	NA	259	NA	NA	NA	NA	0.4522	NA	NA	0.4522	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Latilactobacillus"	"G"	2767885	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Fructilactobacillus"	"G"	2767881	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Levilactobacillus"	"G"	2767886	1	1	1	NA	0.0001784	0.0001659	0.0001784	NA	263.5	279	263.5	NA	NA	NA	NA	NA	0.0125	NA	0.0125	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Lacticaseibacillus"	"G"	2759736	3	1	3	1	0.0005353	0.0001659	0.0005353	0.000392	137.5	279	137.5	428.5	2	NA	2	NA	0.1433	-0.2261	0.1433	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Secundilactobacillus"	"G"	2767892	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Enterococcus"	"G"	1350	113	18	25	113	0.0443	0.002986	0.004461	0.0443	40	67.5	61	40	8.479	-0.6745	NA	8.479	18.22	-0.6745	NA	18.22	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae"
"Vagococcus"	"G"	2737	1	1	1	1	0.000392	0.0001659	0.0001784	0.000392	263.5	279	263.5	428.5	NA	NA	NA	NA	0.2136	-0.0125	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae"
"Abiotrophia"	"G"	46123	1	1	1	NA	0.0001784	0.0001659	0.0001784	NA	263.5	279	263.5	NA	NA	NA	NA	NA	0.0125	NA	0.0125	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Aerococcaceae"
"Jeotgalibaca"	"G"	1470540	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Carnobacteriaceae"
"Bacillus"	"G"	1386	13	4	5	13	0.005096	0.0006636	0.0008922	0.005096	86.5	119	105	86.5	5.396	-0.6745	NA	5.396	4.204	-0.2286	NA	4.204	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Neobacillus"	"G"	2675232	2	2	1	2	0.000784	0.0003318	0.0001784	0.000784	172	172	263.5	259	-1	NA	-1	NA	0.4522	NA	-0.1534	0.4522	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Priestia"	"G"	2800373	2	2	NA	NA	0.0003318	0.0003318	NA	NA	172	172	NA	NA	2	2	NA	NA	0.3318	0.3318	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Sutcliffiella"	"G"	2837511	2	2	NA	1	0.000392	0.0003318	NA	0.000392	172	172	NA	428.5	0.6745	0.6745	NA	NA	0.0602	NA	NA	0.0602	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
